BRMA,SAR,1 Bed,2 bed,3 bed,4 Bed
Aberdeen and Shire,325.00,475.00,650.00,860.00,1250.00
Argyll and Bute,350.00,450.00,600.00,695.00,1200.00
Ayrshires,375.00,375.00,475.00,564.88,800.00
Dumfries and Galloway,335.00,380.00,450.00,500.00,690.00
Dundee and Angus,375.00,400.00,615.00,795.00,1100.00
East Dunbartonshire,425.00,550.00,750.00,1000.00,1400.00
Fife,375.00,450.00,590.00,715.00,1250.00
Forth Valley,415.00,460.00,650.00,800.00,1300.00
Greater Glasgow,450.00,695.00,850.00,970.00,1800.00
Highland and Islands,380.00,475.00,595.00,695.00,850.00
Lothian,475.00,750.00,970.00,1375.00,2180.00
North Lanarkshire,375.00,440.00,550.00,675.00,895.00
Perth and Kinross,359.17,425.00,560.00,750.00,1250.00
Renfrewshire/ Inverclyde, 360.00,400.00,525.00,600.00,1100.00
Scottish Borders,325.00,375.00,500.00,615.00,985.00
South Lanarkshire,375.00,450.00,575.00,715.84,1107.00
West Dunbartonshire,350.00,475.00,595.00,675.00,950.00
West Lothian,410.00,500.00,625.00,750.00,1112.50

